"Route","Departing_Port","Arriving_Port","Airline","Month","Year","Month_Number","Month_Name","Analysis_Level","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","OnTime_Departures_Percent","OnTime_Arrivals_Percent","Cancellations_Percent"
"Canberra-Sydney","Canberra","Sydney","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",535,506,29,439,401,67,105,86.7588932806324,79.2490118577075,5.42056074766355
"Coffs Harbour-Sydney","Coffs Harbour","Sydney","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",154,154,0,136,136,18,18,88.3116883116883,88.3116883116883,0
"Dubbo-Sydney","Dubbo","Sydney","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",123,123,0,107,103,16,20,86.9918699186992,83.739837398374,0
"Emerald-Brisbane","Emerald","Brisbane","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",147,146,1,110,119,36,27,75.3424657534247,81.5068493150685,0.680272108843537
"Geraldton-Perth","Geraldton","Perth","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",52,51,1,49,45,2,6,96.078431372549,88.2352941176471,1.92307692307692
"Gladstone-Brisbane","Gladstone","Brisbane","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",234,226,8,188,178,38,48,83.1858407079646,78.7610619469027,3.41880341880342
"Hobart-Melbourne","Hobart","Melbourne","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",115,114,1,80,83,34,31,70.1754385964912,72.8070175438597,0.869565217391304
"Hobart-Sydney","Hobart","Sydney","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",31,30,1,22,19,8,11,73.3333333333333,63.3333333333333,3.2258064516129
"Kalgoorlie-Perth","Kalgoorlie","Perth","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",57,57,0,50,50,7,7,87.719298245614,87.719298245614,0
"Karratha-Perth","Karratha","Perth","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",100,99,1,93,88,6,11,93.9393939393939,88.8888888888889,1
"Launceston-Melbourne","Launceston","Melbourne","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",119,119,0,102,103,17,16,85.7142857142857,86.5546218487395,0
"Mackay-Brisbane","Mackay","Brisbane","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",109,109,0,90,95,19,14,82.5688073394495,87.1559633027523,0
"Melbourne-Adelaide","Melbourne","Adelaide","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",10,10,0,9,9,1,1,90,90,0
"Melbourne-Canberra","Melbourne","Canberra","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",107,105,2,89,80,16,25,84.7619047619048,76.1904761904762,1.86915887850467
"Melbourne-Hobart","Melbourne","Hobart","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",116,114,2,79,71,35,43,69.2982456140351,62.280701754386,1.72413793103448
"Melbourne-Launceston","Melbourne","Launceston","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",120,120,0,108,108,12,12,90,90,0
"Melbourne-Mildura","Melbourne","Mildura","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",88,88,0,76,73,12,15,86.3636363636364,82.9545454545455,0
"Mildura-Melbourne","Mildura","Melbourne","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",88,88,0,75,70,13,18,85.2272727272727,79.5454545454545,0
"Moranbah-Brisbane","Moranbah","Brisbane","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",114,114,0,93,95,21,19,81.5789473684211,83.3333333333333,0
"Newcastle-Brisbane","Newcastle","Brisbane","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",68,68,0,53,46,15,22,77.9411764705882,67.6470588235294,0
"Newman-Perth","Newman","Perth","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",32,30,2,30,30,0,0,100,100,6.25
"Perth-Broome","Perth","Broome","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",46,46,0,44,44,2,2,95.6521739130435,95.6521739130435,0
"Perth-Geraldton","Perth","Geraldton","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",52,52,0,51,48,1,4,98.0769230769231,92.3076923076923,0
"Perth-Kalgoorlie","Perth","Kalgoorlie","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",57,57,0,52,51,5,6,91.2280701754386,89.4736842105263,0
"Perth-Karratha","Perth","Karratha","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",100,99,1,92,92,7,7,92.9292929292929,92.9292929292929,1
"Perth-Newman","Perth","Newman","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",32,31,1,31,31,0,0,100,100,3.125
"Perth-Port Hedland","Perth","Port Hedland","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",46,45,1,44,43,1,2,97.7777777777778,95.5555555555556,2.17391304347826
"Port Hedland-Perth","Port Hedland","Perth","QantasLink",2014-08-01,2014,8,"Aug","Airline Route",46,46,0,44,42,2,4,95.6521739130435,91.304347826087,0
