"Route","Departing_Port","Arriving_Port","Airline","Month","Year","Month_Number","Month_Name","Analysis_Level","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","OnTime_Departures_Percent","OnTime_Arrivals_Percent","Cancellations_Percent"
"Townsville-Brisbane","Townsville","Brisbane","Qantas",2020-01-01,2020,1,"Jan","Airline Route",35,35,0,29,30,6,5,82.8571428571429,85.7142857142857,0
"All Ports-All Ports","All Ports","All Ports","Qantas",2020-01-01,2020,1,"Jan","Airline",8463,8189,274,6267,6117,1922,2072,76.5294907803151,74.6977652949078,3.2376225924613
"Adelaide-Canberra","Adelaide","Canberra","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",4,4,0,4,4,0,0,100,100,0
"Adelaide-Port Lincoln","Adelaide","Port Lincoln","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",103,103,0,90,90,13,13,87.378640776699,87.378640776699,0
"Albury-Sydney","Albury","Sydney","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",86,72,14,50,47,22,25,69.4444444444444,65.2777777777778,16.2790697674419
"Alice Springs-Darwin","Alice Springs","Darwin","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",35,34,1,34,34,0,0,100,100,2.85714285714286
"Armidale-Sydney","Armidale","Sydney","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",103,101,2,62,62,39,39,61.3861386138614,61.3861386138614,1.94174757281553
"Brisbane-Bundaberg","Brisbane","Bundaberg","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",105,105,0,96,99,9,6,91.4285714285714,94.2857142857143,0
"Brisbane-Cairns","Brisbane","Cairns","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",134,133,1,117,120,16,13,87.9699248120301,90.2255639097744,0.746268656716418
"Brisbane-Canberra","Brisbane","Canberra","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",153,145,8,114,116,31,29,78.6206896551724,80,5.22875816993464
"Brisbane-Emerald","Brisbane","Emerald","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",118,117,1,105,105,12,12,89.7435897435898,89.7435897435898,0.847457627118644
"Brisbane-Gladstone","Brisbane","Gladstone","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",130,130,0,110,109,20,21,84.6153846153846,83.8461538461539,0
"Brisbane-Hamilton Island","Brisbane","Hamilton Island","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",32,31,1,26,27,5,4,83.8709677419355,87.0967741935484,3.125
"Brisbane-Mackay","Brisbane","Mackay","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",130,125,5,104,102,21,23,83.2,81.6,3.84615384615385
"Brisbane-Mount Isa","Brisbane","Mount Isa","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",51,51,0,38,43,13,8,74.5098039215686,84.3137254901961,0
"Brisbane-Newcastle","Brisbane","Newcastle","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",78,75,3,70,67,5,8,93.3333333333333,89.3333333333333,3.84615384615385
"Brisbane-Rockhampton","Brisbane","Rockhampton","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",168,168,0,141,142,27,26,83.9285714285714,84.5238095238095,0
"Brisbane-Sydney","Brisbane","Sydney","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",5,5,0,3,2,2,3,60,40,0
"Brisbane-Townsville","Brisbane","Townsville","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",108,107,1,91,92,16,15,85.0467289719626,85.981308411215,0.925925925925926
"Broome-Perth","Broome","Perth","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",85,81,4,66,70,15,11,81.4814814814815,86.4197530864197,4.70588235294118
"Bundaberg-Brisbane","Bundaberg","Brisbane","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",104,104,0,95,99,9,5,91.3461538461538,95.1923076923077,0
"Cairns-Brisbane","Cairns","Brisbane","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",134,132,2,112,109,20,23,84.8484848484848,82.5757575757576,1.49253731343284
"Cairns-Townsville","Cairns","Townsville","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",137,137,0,126,126,11,11,91.970802919708,91.970802919708,0
"Canberra-Adelaide","Canberra","Adelaide","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",4,4,0,2,3,2,1,50,75,0
"Canberra-Brisbane","Canberra","Brisbane","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",154,144,10,117,117,27,27,81.25,81.25,6.49350649350649
"Canberra-Melbourne","Canberra","Melbourne","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",34,32,2,19,18,13,14,59.375,56.25,5.88235294117647
"Canberra-Sydney","Canberra","Sydney","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",321,292,29,208,197,84,95,71.2328767123288,67.4657534246575,9.03426791277258
"Coffs Harbour-Sydney","Coffs Harbour","Sydney","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",129,129,0,91,88,38,41,70.5426356589147,68.2170542635659,0
"Darwin-Alice Springs","Darwin","Alice Springs","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",35,34,1,31,27,3,7,91.1764705882353,79.4117647058823,2.85714285714286
"Dubbo-Sydney","Dubbo","Sydney","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",100,97,3,62,63,35,34,63.9175257731959,64.9484536082474,3
"Emerald-Brisbane","Emerald","Brisbane","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",119,118,1,104,102,14,16,88.135593220339,86.4406779661017,0.840336134453782
"Gladstone-Brisbane","Gladstone","Brisbane","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",129,129,0,105,106,24,23,81.3953488372093,82.1705426356589,0
"Gold Coast-Sydney","Gold Coast","Sydney","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",39,39,0,26,26,13,13,66.6666666666667,66.6666666666667,0
"Hamilton Island-Brisbane","Hamilton Island","Brisbane","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",31,30,1,22,22,8,8,73.3333333333333,73.3333333333333,3.2258064516129
"Hamilton Island-Sydney","Hamilton Island","Sydney","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",20,19,1,15,15,4,4,78.9473684210526,78.9473684210526,5
"Hobart-Sydney","Hobart","Sydney","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",87,86,1,64,63,22,23,74.4186046511628,73.2558139534884,1.14942528735632
"Kalgoorlie-Perth","Kalgoorlie","Perth","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",61,61,0,55,55,6,6,90.1639344262295,90.1639344262295,0
"Karratha-Perth","Karratha","Perth","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",126,124,2,116,118,8,6,93.5483870967742,95.1612903225807,1.58730158730159
"Launceston-Melbourne","Launceston","Melbourne","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",120,113,7,75,75,38,38,66.3716814159292,66.3716814159292,5.83333333333333
"Mackay-Brisbane","Mackay","Brisbane","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",125,119,6,103,96,16,23,86.5546218487395,80.672268907563,4.8
"Melbourne-Canberra","Melbourne","Canberra","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",33,29,4,21,21,8,8,72.4137931034483,72.4137931034483,12.1212121212121
"Melbourne-Launceston","Melbourne","Launceston","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",120,112,8,79,80,33,32,70.5357142857143,71.4285714285714,6.66666666666667
"Melbourne-Mildura","Melbourne","Mildura","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",87,78,9,46,42,32,36,58.974358974359,53.8461538461538,10.3448275862069
"Mildura-Melbourne","Mildura","Melbourne","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",87,78,9,44,44,34,34,56.4102564102564,56.4102564102564,10.3448275862069
"Mount Isa-Brisbane","Mount Isa","Brisbane","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",52,52,0,41,42,11,10,78.8461538461538,80.7692307692308,0
"Newcastle-Brisbane","Newcastle","Brisbane","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",78,75,3,68,70,7,5,90.6666666666667,93.3333333333333,3.84615384615385
"Newman-Perth","Newman","Perth","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",101,91,10,72,78,19,13,79.1208791208791,85.7142857142857,9.9009900990099
"Perth-Broome","Perth","Broome","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",85,81,4,67,67,14,14,82.7160493827161,82.7160493827161,4.70588235294118
"Perth-Kalgoorlie","Perth","Kalgoorlie","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",61,61,0,56,56,5,5,91.8032786885246,91.8032786885246,0
"Perth-Karratha","Perth","Karratha","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",127,126,1,112,113,14,13,88.8888888888889,89.6825396825397,0.78740157480315
"Perth-Newman","Perth","Newman","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",98,91,7,76,75,15,16,83.5164835164835,82.4175824175824,7.14285714285714
"Perth-Port Hedland","Perth","Port Hedland","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",113,110,3,100,97,10,13,90.9090909090909,88.1818181818182,2.65486725663717
"Port Hedland-Perth","Port Hedland","Perth","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",110,106,4,93,93,13,13,87.7358490566038,87.7358490566038,3.63636363636364
"Port Lincoln-Adelaide","Port Lincoln","Adelaide","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",103,103,0,88,90,15,13,85.4368932038835,87.378640776699,0
"Port Macquarie-Sydney","Port Macquarie","Sydney","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",100,99,1,73,72,26,27,73.7373737373737,72.7272727272727,1
"Rockhampton-Brisbane","Rockhampton","Brisbane","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",171,169,2,143,139,26,30,84.6153846153846,82.2485207100592,1.16959064327485
"Sunshine Coast-Sydney","Sunshine Coast","Sydney","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",60,60,0,45,45,15,15,75,75,0
"Sydney-Albury","Sydney","Albury","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",85,73,12,45,46,28,27,61.6438356164384,63.013698630137,14.1176470588235
"Sydney-Armidale","Sydney","Armidale","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",104,103,1,73,71,30,32,70.873786407767,68.9320388349515,0.961538461538462
"Sydney-Brisbane","Sydney","Brisbane","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",4,4,0,3,3,1,1,75,75,0
"Sydney-Canberra","Sydney","Canberra","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",323,295,28,204,199,91,96,69.1525423728814,67.4576271186441,8.6687306501548
"Sydney-Coffs Harbour","Sydney","Coffs Harbour","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",130,130,0,91,96,39,34,70,73.8461538461539,0
"Sydney-Dubbo","Sydney","Dubbo","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",101,99,2,62,61,37,38,62.6262626262626,61.6161616161616,1.98019801980198
"Sydney-Gold Coast","Sydney","Gold Coast","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",40,40,0,32,31,8,9,80,77.5,0
"Sydney-Hamilton Island","Sydney","Hamilton Island","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",20,20,0,17,16,3,4,85,80,0
"Sydney-Hobart","Sydney","Hobart","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",87,87,0,60,62,27,25,68.9655172413793,71.264367816092,0
"Sydney-Port Macquarie","Sydney","Port Macquarie","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",101,101,0,63,64,38,37,62.3762376237624,63.3663366336634,0
"Sydney-Sunshine Coast","Sydney","Sunshine Coast","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",61,60,1,47,47,13,13,78.3333333333333,78.3333333333333,1.63934426229508
"Sydney-Tamworth","Sydney","Tamworth","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",125,125,0,79,71,46,54,63.2,56.8,0
"Sydney-Wagga Wagga","Sydney","Wagga Wagga","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",86,84,2,52,50,32,34,61.9047619047619,59.5238095238095,2.32558139534884
"Tamworth-Sydney","Tamworth","Sydney","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",123,123,0,75,73,48,50,60.9756097560976,59.349593495935,0
"Townsville-Brisbane","Townsville","Brisbane","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",108,106,2,93,93,13,13,87.7358490566038,87.7358490566038,1.85185185185185
"Townsville-Cairns","Townsville","Cairns","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",139,137,2,122,123,15,14,89.051094890511,89.7810218978102,1.43884892086331
"Wagga Wagga-Sydney","Wagga Wagga","Sydney","QantasLink",2020-01-01,2020,1,"Jan","Airline Route",84,81,3,52,46,29,35,64.1975308641975,56.7901234567901,3.57142857142857
"All Ports-All Ports","All Ports","All Ports","QantasLink",2020-01-01,2020,1,"Jan","Airline",9729,9447,282,7569,7536,1878,1911,80.1206732295967,79.7713559860273,2.89855072463768
"Adelaide-Port Lincoln","Adelaide","Port Lincoln","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",176,176,0,171,170,5,6,97.1590909090909,96.5909090909091,0
"Albury-Sydney","Albury","Sydney","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",41,38,3,34,31,4,7,89.4736842105263,81.5789473684211,7.31707317073171
"Armidale-Sydney","Armidale","Sydney","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",40,40,0,34,32,6,8,85,80,0
"Ballina-Sydney","Ballina","Sydney","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",3,3,0,1,1,2,2,33.3333333333333,33.3333333333333,0
"Cairns-Townsville","Cairns","Townsville","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",12,11,1,7,7,4,4,63.6363636363636,63.6363636363636,8.33333333333333
"Dubbo-Sydney","Dubbo","Sydney","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",81,81,0,68,64,13,17,83.9506172839506,79.0123456790123,0
"Melbourne-Mildura","Melbourne","Mildura","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",40,40,0,23,22,17,18,57.5,55,0
"Mildura-Melbourne","Mildura","Melbourne","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",40,40,0,20,17,20,23,50,42.5,0
"Port Lincoln-Adelaide","Port Lincoln","Adelaide","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",176,176,0,163,157,13,19,92.6136363636364,89.2045454545455,0
"Sydney-Albury","Sydney","Albury","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",43,39,4,32,34,7,5,82.051282051282,87.1794871794872,9.30232558139535
"Sydney-Armidale","Sydney","Armidale","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",41,41,0,38,40,3,1,92.6829268292683,97.5609756097561,0
"Sydney-Ballina","Sydney","Ballina","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",4,4,0,3,3,1,1,75,75,0
"Sydney-Dubbo","Sydney","Dubbo","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",77,77,0,67,68,10,9,87.012987012987,88.3116883116883,0
"Sydney-Wagga Wagga","Sydney","Wagga Wagga","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",62,59,3,49,47,10,12,83.0508474576271,79.6610169491525,4.83870967741935
"Townsville-Cairns","Townsville","Cairns","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",12,11,1,9,9,2,2,81.8181818181818,81.8181818181818,8.33333333333333
"Wagga Wagga-Sydney","Wagga Wagga","Sydney","Rex Airlines",2020-01-01,2020,1,"Jan","Airline Route",66,62,4,51,46,11,16,82.258064516129,74.1935483870968,6.06060606060606
"All Ports-All Ports","All Ports","All Ports","Rex Airlines",2020-01-01,2020,1,"Jan","Airline",4666,4504,162,3732,3561,772,943,82.8596802841918,79.063055062167,3.47192456065152
"Adelaide-Brisbane","Adelaide","Brisbane","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",29,27,2,22,21,5,6,81.4814814814815,77.7777777777778,6.89655172413793
"Adelaide-Melbourne","Adelaide","Melbourne","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",73,69,4,49,46,20,23,71.0144927536232,66.6666666666667,5.47945205479452
"Adelaide-Sydney","Adelaide","Sydney","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",30,29,1,17,12,12,17,58.6206896551724,41.3793103448276,3.33333333333333
"Brisbane-Adelaide","Brisbane","Adelaide","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",29,27,2,22,24,5,3,81.4814814814815,88.8888888888889,6.89655172413793
"Brisbane-Cairns","Brisbane","Cairns","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",31,30,1,23,23,7,7,76.6666666666667,76.6666666666667,3.2258064516129
"Brisbane-Canberra","Brisbane","Canberra","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",31,30,1,25,25,5,5,83.3333333333333,83.3333333333333,3.2258064516129
"Brisbane-Darwin","Brisbane","Darwin","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",19,19,0,14,16,5,3,73.6842105263158,84.2105263157895,0
"Brisbane-Melbourne","Brisbane","Melbourne","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",121,118,3,81,80,37,38,68.6440677966102,67.7966101694915,2.47933884297521
"Brisbane-Sydney","Brisbane","Sydney","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",139,134,5,93,91,41,43,69.4029850746269,67.910447761194,3.59712230215827
"Cairns-Brisbane","Cairns","Brisbane","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",31,30,1,23,25,7,5,76.6666666666667,83.3333333333333,3.2258064516129
"Cairns-Melbourne","Cairns","Melbourne","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",43,43,0,31,31,12,12,72.0930232558139,72.0930232558139,0
"Cairns-Sydney","Cairns","Sydney","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",31,31,0,25,27,6,4,80.6451612903226,87.0967741935484,0
"Canberra-Brisbane","Canberra","Brisbane","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",31,30,1,24,22,6,8,80,73.3333333333333,3.2258064516129
"Canberra-Melbourne","Canberra","Melbourne","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",34,32,2,20,21,12,11,62.5,65.625,5.88235294117647
"Coffs Harbour-Sydney","Coffs Harbour","Sydney","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",27,26,1,22,21,4,5,84.6153846153846,80.7692307692308,3.7037037037037
"Darwin-Brisbane","Darwin","Brisbane","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",18,18,0,15,15,3,3,83.3333333333333,83.3333333333333,0
"Gold Coast-Melbourne","Gold Coast","Melbourne","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",87,86,1,50,51,36,35,58.1395348837209,59.3023255813954,1.14942528735632
"Gold Coast-Sydney","Gold Coast","Sydney","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",97,96,1,46,49,50,47,47.9166666666667,51.0416666666667,1.03092783505155
"Hobart-Melbourne","Hobart","Melbourne","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",52,52,0,31,24,21,28,59.6153846153846,46.1538461538462,0
"Melbourne-Adelaide","Melbourne","Adelaide","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",73,69,4,56,53,13,16,81.1594202898551,76.8115942028985,5.47945205479452
"Melbourne-Brisbane","Melbourne","Brisbane","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",121,118,3,91,81,27,37,77.1186440677966,68.6440677966102,2.47933884297521
"Melbourne-Cairns","Melbourne","Cairns","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",43,43,0,34,34,9,9,79.0697674418605,79.0697674418605,0
"Melbourne-Canberra","Melbourne","Canberra","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",34,32,2,23,23,9,9,71.875,71.875,5.88235294117647
"Melbourne-Gold Coast","Melbourne","Gold Coast","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",87,87,0,66,60,21,27,75.8620689655172,68.9655172413793,0
"Melbourne-Hobart","Melbourne","Hobart","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",52,52,0,43,40,9,12,82.6923076923077,76.9230769230769,0
"Melbourne-Perth","Melbourne","Perth","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",59,57,2,42,42,15,15,73.6842105263158,73.6842105263158,3.38983050847458
"Melbourne-Sydney","Melbourne","Sydney","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",267,242,25,165,142,77,100,68.1818181818182,58.6776859504132,9.36329588014981
"Perth-Melbourne","Perth","Melbourne","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",58,56,2,37,44,19,12,66.0714285714286,78.5714285714286,3.44827586206897
"Perth-Sydney","Perth","Sydney","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",27,27,0,16,19,11,8,59.2592592592593,70.3703703703704,0
"Proserpine-Sydney","Proserpine","Sydney","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",19,19,0,11,10,8,9,57.8947368421053,52.6315789473684,0
"Sydney-Adelaide","Sydney","Adelaide","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",30,29,1,17,18,12,11,58.6206896551724,62.0689655172414,3.33333333333333
"Sydney-Brisbane","Sydney","Brisbane","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",139,134,5,94,92,40,42,70.1492537313433,68.6567164179104,3.59712230215827
"Sydney-Cairns","Sydney","Cairns","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",31,31,0,28,26,3,5,90.3225806451613,83.8709677419355,0
"Sydney-Coffs Harbour","Sydney","Coffs Harbour","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",27,26,1,22,22,4,4,84.6153846153846,84.6153846153846,3.7037037037037
"Sydney-Gold Coast","Sydney","Gold Coast","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",97,96,1,63,58,33,38,65.625,60.4166666666667,1.03092783505155
"Sydney-Melbourne","Sydney","Melbourne","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",268,243,25,142,143,101,100,58.4362139917695,58.8477366255144,9.32835820895522
"Sydney-Perth","Sydney","Perth","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",28,28,0,19,20,9,8,67.8571428571429,71.4285714285714,0
"Sydney-Proserpine","Sydney","Proserpine","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline Route",19,19,0,10,12,9,7,52.6315789473684,63.1578947368421,0
"All Ports-All Ports","All Ports","All Ports","Tigerair Australia",2020-01-01,2020,1,"Jan","Airline",2498,2401,97,1663,1610,738,791,69.2628071636818,67.0553935860058,3.88310648518815
"Adelaide-Brisbane","Adelaide","Brisbane","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",111,111,0,93,98,18,13,83.7837837837838,88.2882882882883,0
"Adelaide-Canberra","Adelaide","Canberra","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",27,26,1,21,21,5,5,80.7692307692308,80.7692307692308,3.7037037037037
"Adelaide-Gold Coast","Adelaide","Gold Coast","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",34,34,0,33,31,1,3,97.0588235294118,91.1764705882353,0
"Adelaide-Melbourne","Adelaide","Melbourne","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",257,247,10,174,168,73,79,70.4453441295547,68.0161943319838,3.89105058365759
"Adelaide-Perth","Adelaide","Perth","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",42,42,0,34,32,8,10,80.9523809523809,76.1904761904762,0
"Adelaide-Sydney","Adelaide","Sydney","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",162,161,1,130,128,31,33,80.7453416149068,79.5031055900621,0.617283950617284
"Albury-Sydney","Albury","Sydney","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",51,41,10,24,22,17,19,58.5365853658537,53.6585365853659,19.6078431372549
"Ayers Rock-Sydney","Ayers Rock","Sydney","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",31,30,1,26,26,4,4,86.6666666666667,86.6666666666667,3.2258064516129
"Ballina-Sydney","Ballina","Sydney","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",44,44,0,23,28,21,16,52.2727272727273,63.6363636363636,0
"Brisbane-Adelaide","Brisbane","Adelaide","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",111,110,1,77,95,33,15,70,86.3636363636364,0.900900900900901
"Brisbane-Bundaberg","Brisbane","Bundaberg","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",31,31,0,30,30,1,1,96.7741935483871,96.7741935483871,0
"Brisbane-Cairns","Brisbane","Cairns","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",143,143,0,112,124,31,19,78.3216783216783,86.7132867132867,0
"Brisbane-Canberra","Brisbane","Canberra","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",91,88,3,69,72,19,16,78.4090909090909,81.8181818181818,3.2967032967033
"Brisbane-Darwin","Brisbane","Darwin","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",32,32,0,17,18,15,14,53.125,56.25,0
"Brisbane-Emerald","Brisbane","Emerald","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",44,44,0,42,42,2,2,95.4545454545455,95.4545454545455,0
"Brisbane-Gladstone","Brisbane","Gladstone","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",71,71,0,68,68,3,3,95.7746478873239,95.7746478873239,0
"Brisbane-Hamilton Island","Brisbane","Hamilton Island","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",31,31,0,23,25,8,6,74.1935483870968,80.6451612903226,0
"Brisbane-Hobart","Brisbane","Hobart","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",42,42,0,36,40,6,2,85.7142857142857,95.2380952380952,0
"Brisbane-Mackay","Brisbane","Mackay","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",141,141,0,110,110,31,31,78.0141843971631,78.0141843971631,0
"Brisbane-Melbourne","Brisbane","Melbourne","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",365,347,18,242,221,105,126,69.7406340057637,63.6887608069164,4.93150684931507
"Brisbane-Mount Isa","Brisbane","Mount Isa","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",18,18,0,18,18,0,0,100,100,0
"Brisbane-Newcastle","Brisbane","Newcastle","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",85,84,1,66,66,18,18,78.5714285714286,78.5714285714286,1.17647058823529
"Brisbane-Perth","Brisbane","Perth","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",112,112,0,64,78,48,34,57.1428571428571,69.6428571428571,0
"Brisbane-Proserpine","Brisbane","Proserpine","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",45,44,1,37,38,7,6,84.0909090909091,86.3636363636364,2.22222222222222
"Brisbane-Rockhampton","Brisbane","Rockhampton","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",139,139,0,106,108,33,31,76.2589928057554,77.6978417266187,0
"Brisbane-Sydney","Brisbane","Sydney","Virgin Australia",2020-01-01,2020,1,"Jan","Airline Route",491,485,6,357,343,128,142,73.6082474226804,70.7216494845361,1.22199592668024
